pageid,title,wikidata,label
236940,John Swinney,Q333811,John Swinney
434896,Angus Robertson,Q480184,Angus Robertson
579570,Nicola Sturgeon,Q467112,Nicola Sturgeon
903988,Michael Matheson (politician),Q121780,Michael Matheson
954401,Shona Robison,Q444675,Shona Robison
4030152,Angela Constance,Q524077,Angela Constance
11145229,Keith Brown (Scottish politician),Q1738042,Keith Brown
12826476,Shirley-Anne Somerville,Q2279359,Shirley-Anne Somerville
31254783,Dorothy Bain,Q5298300,Dorothy Bain
31696482,Alison Johnstone,Q2647232,Alison Johnstone
31697554,Humza Yousaf,Q174924,Humza Yousaf
46641832,Neil Gray,Q19882694,Neil Gray
50432511,Mairi Gougeon,Q24014894,Mairi Gougeon
50441419,Jenny Gilruth,Q24026044,Jenny Gilruth
50442435,Kate Forbes,Q24039479,Kate Forbes
65623478,"Keith Stewart, Baron Stewart of Dirleton",Q101693608,"Keith Stewart, Baron Stewart of Dirleton"
67960494,Ruth Charteris,Q107253258,Ruth Charteris
