position,person,personID,start,end
First Minister,Donald Dewar,Q333158,1999-05-13,2000-10-11
First Minister,"Jim Wallace, Baron Wallace of Tankerness",Q333807,2000-10-11,2000-10-26
First Minister,Henry McLeish,Q333820,2000-10-27,2001-11-08
First Minister,"Jim Wallace, Baron Wallace of Tankerness",Q333807,2001-11-08,2001-11-22
First Minister,Jack McConnell,Q132040,2001-11-22,2007-05-16
First Minister,Alex Salmond,Q10652,2007-05-16,2014-11-19
First Minister,Nicola Sturgeon,Q467112,2014-11-20,
Deputy First Minister,"Jim Wallace, Baron Wallace of Tankerness",Q333807,1999-05-19,2005-06-23
Deputy First Minister,"Nicol Stephen, Baron Stephen",Q333630,2005-06-27,2007-05-17
Deputy First Minister,Nicola Sturgeon,Q467112,2007-05-17,2014-11-19
Deputy First Minister,John Swinney,Q333811,2014-11-21,
"Cabinet Secretary for Commonwealth Games, Sport, Equalities and Pensioners' Rights",Shona Robison,Q444675,2014-04-22,2014-11-21
"Cabinet Secretary for Communities, Social Security and Equalities",Alex Neil,Q1515752,2014-11-21,2016-05-18
"Cabinet Secretary for Communities, Social Security and Equalities",Angela Constance,Q524077,2016-05-18,2018-06-26
"Cabinet Secretary for Communities, Social Security and Equalities",Aileen Campbell,Q405017,2018-06-26,2021-05-20
Cabinet Secretary for Covid Recovery,John Swinney,Q333811,2021-05-18,
Cabinet Secretary for Culture and External Affairs,Fiona Hyslop,Q1418512,2011-05-19,2014-11-19
"Cabinet Secretary for Culture, Europe and External Affairs",Fiona Hyslop,Q1418512,2014-11-21,2016-05-18
"Cabinet Secretary for Culture, Tourism and External Affairs",Linda Fabiani,Q467097,2007-05-17,2009-02-12
"Cabinet Secretary for Culture, Tourism and External Affairs",Fiona Hyslop,Q1418512,2016-05-18,2020-02-17
"Cabinet Secretary for Economy, Jobs and Fair Work",Keith Brown,Q1738042,2016-05-18,2018-06-26
Cabinet Secretary for Education and Lifelong Learning,Jack McConnell,Q132040,2000-10-26,2001-11-22
Cabinet Secretary for Education and Lifelong Learning,Fiona Hyslop,Q1418512,2007-05-17,2009-12-01
Cabinet Secretary for Education and Lifelong Learning,Michael Russell,Q1929110,2009-12-01,2014-11-19
Cabinet Secretary for Education and Lifelong Learning,Angela Constance,Q524077,2014-11-21,2016-05-18
Cabinet Secretary for Education and Skills,John Swinney,Q333811,2016-05-18,2021-05-18
Cabinet Secretary for Education and Skills,Shirley-Anne Somerville,Q2279359,2021-05-18,
"Cabinet Secretary for Environment, Climate Change and Land Reform",Stewart Stevenson,Q559613,2011-05-25,2012-09-06
"Cabinet Secretary for Environment, Climate Change and Land Reform",Roseanna Cunningham,Q333953,2016-05-18,2021-05-20
"Cabinet Secretary for Fair Work, Skills and Training",Roseanna Cunningham,Q333953,2014-11-21,2016-05-18
Cabinet Secretary for Finance and Sustainable Growth,John Swinney,Q333811,2007-05-17,2011-05-19
Cabinet Secretary for Finance and the Constitution,Derek Mackay,Q1200058,2016-05-18,2020-02-06
Cabinet Secretary for Finance and the Economy,Kate Forbes,Q24039479,2021-05-18,
"Cabinet Secretary for Finance, Constitution and Economy",John Swinney,Q333811,2014-11-21,2016-05-18
"Cabinet Secretary for Finance, Employment and Sustainable Growth",Jack McConnell,Q132040,1999-05-17,2000-10-26
"Cabinet Secretary for Finance, Employment and Sustainable Growth",John Swinney,Q333811,2007-05-17,2016-05-18
"Cabinet Secretary for Finance, Employment and Sustainable Growth",John Swinney,Q333811,2011-05-19,2014-11-19
Cabinet Secretary for Health and Social Care,Humza Yousaf,Q174924,2021-05-18,
Cabinet Secretary for Health and Sport,Shona Robison,Q444675,2016-05-18,2018-06-26
Cabinet Secretary for Health and Wellbeing,Nicola Sturgeon,Q467112,2007-05-17,2011-05-19
