wanted,position,positionid,from,start,end
Q2063093,Minister for Transport and Veterans,Q6865983,Q1349075,2021-05-20,2022-01-24
Q1490268,Cabinet Secretary for the Rural Economy and Connectivity,Q30763620,Q559022,2016-05-18,2021-05-20
Q405025,"Cabinet Secretary for Environment, Climate Change and Land Reform",Q30763119,Q333953,2016-05-18,2021-05-20
Q1176844,Member of the 5th Scottish Parliament,Q30580546,Q24039479,2016-05-05,2021-05-05
Q2063093,"Minister for Environment, Climate Change and Land Reform",Q6865818,Q405025,2014-11-21,2016-05-18
Q524077,"Cabinet Secretary for Fair Work, Skills and Training",Q6865992,Q333953,2014-11-21,2016-05-18
Q524077,Minister for Employability and Training,Q20042662,Q564093,2014-11-21,2016-05-18
Q1515752,"Cabinet Secretary for Infrastructure, Investment and Cities",Q5015479,Q467112,2012-09-05,2014-11-19
Q1738042,Minister for Housing and Welfare,Q6865870,Q289184,2012-09-05,2016-05-18
Q467112,Cabinet Secretary for Health and Wellbeing,Q30886058,Q1515752,2012-09-05,2014-11-19
Q333953,"Minister for Environment, Climate Change and Land Reform",Q6865818,Q559613,2011-05-25,2012-09-06
Q1689144,"Minister for Business, Energy and Tourism",Q6865811,Q559022,2011-05-20,2016-05-18
Q1929110,Minister for Culture and External Affairs,Q30893554,Q1418512,2009-12-01,2011-05-19
Q1339371,Minister for Transport and Veterans,Q6865983,Q559613,2007-05-17,2010-12-11
Q2057182,"Cabinet Secretary for Culture, Tourism and External Affairs",Q5015477,Q467097,2007-05-17,2009-02-12
Q2167587,Cabinet Secretary for Rural Affairs and the Environment,Q1173947,Q1490268,2007-05-17,2011-05-18
Q291748,Minister for Parliamentary Business,Q16933965,Q559391,2007-05-17,2011-05-19
Q526409,Cabinet Secretary for Health and Wellbeing,Q16148216,Q467112,2007-05-17,2011-05-19
Q544698,Minister for Community Safety and Legal Affairs,Q6865773,Q559022,2007-05-17,2011-05-20
Q5931093,Cabinet Secretary for Education and Lifelong Learning,Q5015475,Q1418512,2007-05-17,2009-12-01
Q727460,Cabinet Secretary for Justice,Q5015480,Q983174,2007-05-17,2014-11-19
Q7816757,"Cabinet Secretary for Finance, Employment and Sustainable Growth",Q5015474,Q333811,2007-05-17,2016-05-18
Q1421398,Minister for Enterprise and Lifelong Learning,Q6865814,Q333807,2003-05-21,2005-06-27
Q1421398,Minister for Enterprise and Lifelong Learning,Q6865814,Q511689,2000-11-01,2001-11-28
Q2216457,Cabinet Secretary for Education and Lifelong Learning,Q5015475,Q132040,2000-10-26,2001-11-22
Q2216457,"Minister for Education, Europe and External Affairs",Q30775634,Q132040,2000-10-26,2001-11-22
