wanted,position,positionid,from,start,end
Q1282862,Minister for Parliamentary Business,Q16933965,Q1349075,2018-06-27,2021-05-20
Q1738042,Cabinet Secretary for Justice,Q5015480,Q174924,2018-06-26,2021-05-20
Q24014894,Minister for Public Health,Q6865944,Q1612012,2018-06-26,2020-12-18
Q444675,"Cabinet Secretary for Communities, Social Security and Equalities",Q30763439,Q405017,2018-06-26,2021-05-20
Q24014894,Cabinet Secretary for the Rural Economy and Connectivity,Q30763620,Q559022,2016-05-18,2021-05-20
Q1681399,Minister for Employability and Training,Q20042662,Q564093,2014-11-21,2016-05-18
Q333811,Cabinet Secretary for Education and Lifelong Learning,Q5015475,Q524077,2014-11-21,2016-05-18
Q333953,"Minister for Environment, Climate Change and Land Reform",Q6865818,Q405025,2014-11-21,2016-05-18
Q333953,"Cabinet Secretary for Training, Youth and Women’s Employment",Q30909593,Q524077,2014-04-22,2014-11-19
Q444675,Cabinet Secretary for Health and Wellbeing,Q30886058,Q1515752,2012-09-05,2014-11-19
Q564093,Minister for Youth Employment,Q30912671,Q524077,2011-12-07,2014-04-22
Q2063093,"Cabinet Secretary for Environment, Climate Change and Land Reform",Q30763119,Q559613,2011-05-25,2012-09-06
Q2063093,"Minister for Environment, Climate Change and Land Reform",Q6865818,Q559613,2011-05-25,2012-09-06
Q2063093,"Minister for Business, Energy and Tourism",Q6865811,Q559022,2011-05-20,2016-05-18
Q467112,Cabinet Secretary for Parliamentary Business and Government Strategy,Q30886611,Q559391,2011-05-19,2012-09-05
Q1200058,"Cabinet Secretary for Finance, Employment and Sustainable Growth",Q5015474,Q333811,2007-05-17,2016-05-18
Q1738042,Minister for Transport and Veterans,Q6865983,Q559613,2007-05-17,2010-12-11
Q1929110,"Cabinet Secretary for Culture, Tourism and External Affairs",Q5015477,Q467097,2007-05-17,2009-02-12
Q7816757,Minister for Finance and Public Services,Q30864809,Q526409,2003-05-20,2004-10-04
Q1421398,Member of the 2nd Scottish Parliament,Q30580542,Q1700483,2003-05-01,2007-04-02
Q1421398,Minister for Enterprise and Lifelong Learning,Q6865814,Q511689,2001-11-28,2002-05-03
Q727460,Cabinet Secretary for Education and Lifelong Learning,Q5015475,Q132040,2000-10-26,2001-11-22
Q727460,"Minister for Education, Europe and External Affairs",Q30775634,Q132040,2000-10-26,2001-11-22
Q727460,Cabinet Secretary for Justice,Q5015480,Q333807,1999-05-19,2003-05-21
Q544484,"Cabinet Secretary for Finance, Employment and Sustainable Growth",Q5015474,Q132040,1999-05-17,2000-10-26
Q544484,Minister for Finance,Q30768476,Q132040,1999-05-17,2000-10-26
