position,title
Q1362216,First Minister
Q5261035,Deputy First Minister
Q30910022,"Cabinet Secretary for Commonwealth Games, Sport, Equalities and Pensioners' Rights"
Q30763439,"Cabinet Secretary for Communities, Social Security and Equalities"
Q106906212,Cabinet Secretary for Covid Recovery
Q30887278,Cabinet Secretary for Culture and External Affairs
Q30887175,"Cabinet Secretary for Culture, Europe and External Affairs"
Q5015477,"Cabinet Secretary for Culture, Tourism and External Affairs"
Q24197309,"Cabinet Secretary for Economy, Jobs and Fair Work"
Q5015475,Cabinet Secretary for Education and Lifelong Learning
Q30762640,Cabinet Secretary for Education and Skills
Q30763119,"Cabinet Secretary for Environment, Climate Change and Land Reform"
Q6865992,"Cabinet Secretary for Fair Work, Skills and Training"
Q30879247,Cabinet Secretary for Finance and Sustainable Growth
Q30762819,Cabinet Secretary for Finance and the Constitution
Q107694344,Cabinet Secretary for Finance and the Economy
Q30879924,"Cabinet Secretary for Finance, Constitution and Economy"
Q5015474,"Cabinet Secretary for Finance, Employment and Sustainable Growth"
Q107694341,Cabinet Secretary for Health and Social Care
Q30762929,Cabinet Secretary for Health and Sport
Q16148216,Cabinet Secretary for Health and Wellbeing
Q30886058,Cabinet Secretary for Health and Wellbeing
Q30885996,"Cabinet Secretary for Health, Wellbeing and Cities Strategy"
Q30886128,"Cabinet Secretary for Health, Wellbeing and Sport"
Q30909024,Cabinet Secretary for Infrastructure and Capital Investment
Q5015479,"Cabinet Secretary for Infrastructure, Investment and Cities"
Q5015480,Cabinet Secretary for Justice
Q107694363,Cabinet Secretary for Justice and Veterans
Q107694359,"Cabinet Secretary for Net Zero, Energy and Transport"
Q30886611,Cabinet Secretary for Parliamentary Business and Government Strategy
Q107694337,Cabinet Secretary for Rural Affairs and Islands
Q1173947,Cabinet Secretary for Rural Affairs and the Environment
Q30914031,"Cabinet Secretary for Rural Affairs, Food and Environment"
Q6865763,"Cabinet Secretary for Social Justice, Communities and Pensioners' Rights"
Q107694357,"Cabinet Secretary for Social Justice, Housing and Local Government"
Q30909593,"Cabinet Secretary for Training, Youth and Women’s Employment"
Q107694326,"Cabinet Secretary for the Constitution, External Affairs and Culture"
Q30763620,Cabinet Secretary for the Rural Economy and Connectivity
Q6865811,"Minister for Business, Energy and Tourism"
Q30767816,Minister for Children and Education
Q25395293,Minister for Children and Young People
Q30868809,Minister for Communities
Q6865773,Minister for Community Safety and Legal Affairs
Q30893554,Minister for Culture and External Affairs
Q30864563,Minister for Culture and Sport
Q104418179,Minister for Drugs Policy
Q30864059,Minister for Education and Young People
Q30775634,"Minister for Education, Europe and External Affairs"
Q20042662,Minister for Employability and Training
Q110124640,"Minister for Energy, Connectivity and the Islands"
Q6865814,Minister for Enterprise and Lifelong Learning
Q30864358,"Minister for Enterprise, Transport and Lifelong Learning"
Q30777876,Minister for Environment and Rural Development
Q6865818,"Minister for Environment, Climate Change and Land Reform"
Q30776055,"Minister for Environment, Sport and Culture"
Q6865820,Minister for Europe and International Development
Q30768476,Minister for Finance
Q30776391,Minister for Finance and Local Government
Q30878519,Minister for Finance and Public Service Reform
Q30864809,Minister for Finance and Public Services
Q6865911,"Minister for Further Education, Higher Education and Science"
Q485494,Minister for Gaelic
Q30768665,Minister for Health and Community Care
Q6865870,Minister for Housing and Welfare
Q30770915,Minister for Justice
Q6865919,Minister for Local Government and Community Empowerment
Q30777136,Minister for Parliament
Q16933965,Minister for Parliamentary Business
Q6865944,Minister for Public Health
Q30769027,Minister for Rural Affairs
Q30777441,Minister for Rural Development
Q30768016,"Minister for Social Inclusion, Local Government and Housing"
Q30779962,Minister for Social Justice
Q18760239,"Minister for Sport, Health Improvement and Mental Health"
Q30868914,"Minister for Tourism, Culture and Sport"
Q30869200,Minister for Transport
Q30778783,Minister for Transport and Planning
Q30869794,Minister for Transport and Telecommunications
Q30778119,Minister for Transport and Telecommunications
Q6865983,Minister for Transport and Veterans
Q30769264,Minister for Transport and the Environment
Q28224782,Minister for UK Negotiations on Scotland's Place in Europe
Q30912671,Minister for Youth Employment
Q30768793,Chief Whip and Government Business Manager
Q3567536,Presiding Officer of the Scottish Parliament
Q1807003,Lord Advocate
Q2928362,Advocate General
Q1154402,Solicitor General
Q21857335,Auditor General
