item,itemLabel,itemDescription,inception,abolition,partOf,partOfLabel,partStart,partEnd,isa,isaLabel,ministry,ministryLabel
Q30910022,"Cabinet Secretary for Commonwealth Games, Sport, Equalities and Pensioners' Rights",Historic Scottish Cabinet position,2014-04-22T00:00:00Z,2014-11-21T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q7579929,sports minister,,
Q30763439,"Cabinet Secretary for Communities, Social Security and Equalities",Scottish Cabinet position,2016-05-18T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q106906212,Cabinet Secretary for Covid Recovery,position in the Scottish Government Cabinet from May 2021,2021-05-01T00:00:00Z,,Q32859621,Cabinet of Scotland,,,,,,
Q30887278,Cabinet Secretary for Culture and External Affairs,Historic Scottish Cabinet position,2011-05-19T00:00:00Z,2014-11-21T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q2621182,minister of culture,,
Q30887278,Cabinet Secretary for Culture and External Affairs,Historic Scottish Cabinet position,2011-05-19T00:00:00Z,2014-11-21T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q7330070,foreign minister,,
Q30887175,"Cabinet Secretary for Culture, Europe and External Affairs",Historic Scottish Cabinet position,2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q2621182,minister of culture,,
Q30887175,"Cabinet Secretary for Culture, Europe and External Affairs",Historic Scottish Cabinet position,2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q7330070,foreign minister,,
Q5015477,"Cabinet Secretary for Culture, Tourism and External Affairs",portfolio in the Scottish Government,2016-05-18T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q15722501,tourism minister,,
Q5015477,"Cabinet Secretary for Culture, Tourism and External Affairs",portfolio in the Scottish Government,2016-05-18T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q2621182,minister of culture,,
Q5015477,"Cabinet Secretary for Culture, Tourism and External Affairs",portfolio in the Scottish Government,2016-05-18T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q7330070,foreign minister,,
Q24197309,"Cabinet Secretary for Economy, Jobs and Fair Work",,2016-05-18T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q7614320,finance minister,,
Q5015475,Cabinet Secretary for Education and Lifelong Learning,portfolio in the Scottish Government,1999-05-01T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q4018482,education minister,,
Q30762640,Cabinet Secretary for Education and Skills,Scottish Cabinet position,2016-05-18T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q4018482,education minister,,
Q30763119,"Cabinet Secretary for Environment, Climate Change and Land Reform",Scottish Cabinet position,2016-05-18T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q4574084,environment minister,,
Q6865992,"Cabinet Secretary for Fair Work, Skills and Training",portfolio in the Scottish Government,2014-11-21T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q12303322,minister of labour,,
Q30879247,Cabinet Secretary for Finance and Sustainable Growth,Historic Scottish Cabinet position,2007-05-17T00:00:00Z,2011-05-19T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q7614320,finance minister,,
Q30762819,Cabinet Secretary for Finance and the Constitution,Scottish Cabinet position,2016-05-18T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q7614320,finance minister,,
Q107694344,Cabinet Secretary for Finance and the Economy,Scottish cabinet position,,,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q30879924,"Cabinet Secretary for Finance, Constitution and Economy",Historic Scottish Cabinet position,2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q7614320,finance minister,,
Q5015474,"Cabinet Secretary for Finance, Employment and Sustainable Growth",portfolio in the Scottish Government,1999-05-17T00:00:00Z,2014-11-21T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q7614320,finance minister,,
Q5015474,"Cabinet Secretary for Finance, Employment and Sustainable Growth",portfolio in the Scottish Government,2011-05-19T00:00:00Z,2014-11-21T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q7614320,finance minister,,
Q107694341,Cabinet Secretary for Health and Social Care,Scottish cabinet position,,,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q30762929,Cabinet Secretary for Health and Sport,Scottish Cabinet position,2016-05-18T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q3273722,health minister,,
Q30762929,Cabinet Secretary for Health and Sport,Scottish Cabinet position,2016-05-18T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q7579929,sports minister,,
Q16148216,Cabinet Secretary for Health and Wellbeing,portfolio in the Scottish Government (2007-2011),2007-05-16T00:00:00Z,2011-05-19T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q3273722,health minister,,
Q30886058,Cabinet Secretary for Health and Wellbeing,Historic Scottish Cabinet position (2012-2014),2012-09-05T00:00:00Z,2014-11-21T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q3273722,health minister,,
Q30885996,"Cabinet Secretary for Health, Wellbeing and Cities Strategy",Historic Scottish Cabinet position,2011-05-19T00:00:00Z,2012-09-05T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q3273722,health minister,,
Q30886128,"Cabinet Secretary for Health, Wellbeing and Sport",Historic Scottish Cabinet position,2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q3273722,health minister,,
Q30886128,"Cabinet Secretary for Health, Wellbeing and Sport",Historic Scottish Cabinet position,2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q7579929,sports minister,,
Q30909024,Cabinet Secretary for Infrastructure and Capital Investment,Historic Scottish Cabinet position,2011-05-19T00:00:00Z,2012-09-05T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q30908757,"Cabinet Secretary for Infrastructure, Capital Investment and Cities",Historic Scottish Cabinet position,2012-09-05T00:00:00Z,2014-11-21T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q5015479,"Cabinet Secretary for Infrastructure, Investment and Cities",portfolio in the Scottish Government,2014-11-21T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q5015480,Cabinet Secretary for Justice,portfolio in the Scottish Government,1999-05-17T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q17763739,justice minister,,
Q107694363,Cabinet Secretary for Justice and Veterans,Scottish cabinet position,,,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q107694359,"Cabinet Secretary for Net Zero, Energy and Transport",Scottish cabinet position,,,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q30886611,Cabinet Secretary for Parliamentary Business and Government Strategy,Scottish Cabinet position,2011-05-19T00:00:00Z,,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q107694337,Cabinet Secretary for Rural Affairs and Islands,Scottish cabinet position,,,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q1173947,Cabinet Secretary for Rural Affairs and the Environment,Scottish Government cabinet position,2007-05-16T00:00:00Z,2014-11-21T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q4574084,environment minister,,
Q30914031,"Cabinet Secretary for Rural Affairs, Food and Environment",Historic Scottish Cabinet position,2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q4574084,environment minister,,
Q6865763,"Cabinet Secretary for Social Justice, Communities and Pensioners' Rights",portfolio in the Scottish Government,2014-11-21T00:00:00Z,2016-05-18T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q107694357,"Cabinet Secretary for Social Justice, Housing and Local Government",Scottish cabinet position,,,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
Q30909593,"Cabinet Secretary for Training, Youth and Women’s Employment",Historic Scottish Cabinet position,2014-04-12T00:00:00Z,2014-11-21T00:00:00Z,Q32859621,Cabinet of Scotland,,,Q12303322,minister of labour,,
Q107694326,"Cabinet Secretary for the Constitution, External Affairs and Culture",Scottish cabinet position,,,Q32859621,Cabinet of Scotland,,,Q83307,minister,,
